scrape_date,source_url,job_title,company,location,salary,salary_min_usd,salary_max_usd,salary_currency,salary_status,skills,source,status
2026-05-28,https://itviec.com/it/android-developer-middle-senior-up-to-3000-ingenico-vietnam-2356,Android Developer (Middle - Senior) - Up to $3000,To Ingenico Vietnam,,Sign in to view salary,,,,login_required,Android;English;Java;Kotlin;Python,ItViec,ok
2026-05-28,https://itviec.com/it/android-engineer-kotlin-gotymex-3710,Android Engineer (Kotlin),Engineer Kotlin Gotymex,,Sign in to view salary,,,,login_required,AWS;Android;Java;Kotlin;MVVM;iOS,ItViec,ok
2026-05-28,https://itviec.com/it/android-hmi-sdk-development-for-automotive-developer-altaa-vistaa-3308,Android HMI SDK Development for Automotive Developer,Developer Altaa Vistaa,,Sign in to view salary,,,,login_required,Embedded Android;Kotlin,ItViec,ok
2026-05-28,https://itviec.com/it/appsec-devops-devsecops-engineer-con-cung-0059,AppSec (DevOps/ DevSecOps) Engineer,Engineer Con Cung,,Sign in to view salary,,,,login_required,AWS;Cloud;DevOps;DevSecOps;English;Python,ItViec,ok
2026-05-28,https://itviec.com/it/appication-ops-van-hanh-ung-dung-t24-payment-ngan-hang-thuong-mai-tnhh-mtv-ky-nguyen-thinh-vuong-gpbank-3617,"Appication Ops/Vận hành ứng dụng (T24, Payment)",Thinh Vuong Gpbank,,Sign in to view salary,,,,login_required,AWS;CI/CD,ItViec,ok
2026-05-28,https://itviec.com/it/assistant-to-head-of-it-department-agile-english-bidv-sumi-trust-leasing-company-ltd-4638,"Assistant To Head Of IT Department (Agile, English)",Leasing Company Ltd,,Sign in to view salary,,,,login_required,Agile;English;Project Management;Risk Management;Strategy planning;System Admin,ItViec,ok
2026-05-28,https://itviec.com/it/associate-software-architect-aws-hansen-technologies-4318,Associate Software Architect (AWS),Aws Hansen Technologies,,Sign in to view salary,,,,login_required,.NET;AWS;English;Java;Software Architecture,ItViec,ok
2026-05-28,https://itviec.com/it/automation-qa-engineer-panasonic-vietnam-group-panasonic-r-d-center-vietnam-prdcv-5704,Automation QA Engineer,Center Vietnam Prdcv,,Sign in to view salary,,,,login_required,Automation Test;CI/CD;Docker;JUnit;JavaScript;Jira,ItViec,ok
2026-05-28,https://itviec.com/it/automation-qa-engineer-qa-qc-tester-automation-test-nakivo-0115,Automation QA Engineer (QA QC/Tester/Automation Test),Automation Test Nakivo,,Sign in to view salary,,,,login_required,Automation Test;Cloud;Java;Python;QA QC;Selenium,ItViec,ok
2026-05-28,https://itviec.com/it/automation-test-engineer-python-embedded-lg-electronics-development-vietnam-lgedv-1809,"Automation Test Engineer (Python, Embedded)",Development Vietnam Lgedv,,Sign in to view salary,,,,login_required,Agile;Embedded;Python;Tester,ItViec,ok
2026-05-28,https://itviec.com/it/automation-tester-smilegate-vietnam-5605,Automation Tester,Tester Smilegate Vietnam,,Sign in to view salary,,,,login_required,Agile;Appium;Automation Test;Playwright;Scrum;Selenium,ItViec,ok
2026-05-28,https://itviec.com/it/automation-tester-qa-qc-mercatus-4125,Automation Tester ( QA QC),Qa Qc Mercatus,,Sign in to view salary,,,,login_required,Agile;QA QC,ItViec,ok
2026-05-28,https://itviec.com/it/automation-tester-qa-engineer-gemcommerce-3716,Automation Tester (QA Engineer),Qa Engineer Gemcommerce,,Sign in to view salary,,,,login_required,API;Agile;Automation Test;Functional specifications;SQL,ItViec,ok
